"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","9463.72275281653","4610.99406483799","2181.85367091621","1683.71633052375","1295.30708547601","1132.09094965532","1122.13625150835","899.648167368901","809.173329354323","732.868649037084","845.364739946286","709.842161876437"
"4","4615.95514138798","3301.65894247261","1895.7055239842","1816.89010272888","1645.86394000808","1794.48044449273","1150.0676808803","1006.35626160883","831.673488648341","822.375550432818","635.060397303942","584.944352383917"
"7","8202.36309522771","3325.90188251547","3032.68882315845","2509.18903523005","1807.82359185468","1652.19899246856","1490.1454864002","1078.64506953048","1073.84046176452","942.860157680606","807.335323866603","841.045082622027"
"8","3442.41673287671","1678.39365766414","1062.30407922225","860.944791450765","728.623923287446","687.748423510623","727.601846431271","614.812823793576","578.518126219438","616.598960197479","612.632091534442","550.941560179722"
"9","8026.61855362196","5004.19903348334","2325.44693019196","1830.1629142937","1523.22551540265","1324.40956508905","1191.18751360661","966.068303985414","821.419925147061","724.468072582836","798.075666039091","671.994428547918"
"10","5381.5114170015","2611.69328567283","1487.40306431822","1466.78893446685","1002.58759273522","965.695451062654","885.789528444853","845.723586847375","673.455869432567","717.351178589436","670.906098934766","668.827918643983"
"14","3436.53579833815","1840.96234755018","1297.19998504839","1225.5780239951","986.771783329741","882.366948312539","758.917673549975","641.787257149121","586.638441077353","584.065628399198","573.935724697649","552.936222847729"
"16","5434.41681564903","3316.14730501777","1839.64367351069","1263.94175092631","1078.25053241095","894.17727338754","833.340366512754","753.339496256981","655.89134336158","681.525208172078","784.987960946864","670.332362322465"
"17","3757.69859783629","2531.34428841707","1717.20961603265","1356.39765476573","1086.38053008472","859.164562637112","784.600495929014","704.019767973871","613.770295236845","607.56230866218","662.099565378932","595.689583982974"
"19","8168.36677601845","3411.74835367685","3112.65045385868","2427.83391669592","1821.48627232628","1668.29012425552","1453.98290561731","1023.53383136125","1055.79118516941","906.580963536585","763.005289977658","817.637924748554"
"20","3682.52526075443","2457.5893411654","1634.50982908648","1156.92476049135","1054.06919786859","866.194927870313","772.528007458029","696.75219468318","607.895917925046","612.355477620358","657.784348674432","595.740811781156"
"22","3419.74457998501","1738.89522072536","1070.9287613082","948.152829182465","768.246724042274","688.335818669194","745.010565702611","624.078846771005","576.750186044761","608.71857572465","607.920934119296","542.450513733394"
"23","6894.15956002011","5794.91158942117","3261.85434849489","2308.02138922706","1744.25878182397","1459.30270905678","1420.03653584807","1068.95765535598","990.668246722489","1098.83058195851","998.168244275445","761.185599615064"
"24","5006.07216029737","2493.68769468618","1306.82949043653","1008.66375930637","837.010708279624","832.522563612537","850.304998858597","652.962043949669","639.921143078122","644.622105497482","668.4903571027","618.491011108441"
"27","7313.27746008762","2991.80083137261","2932.80824049406","2567.56138762879","1720.10421380469","1502.15495151277","1426.21513731726","1068.58977851957","1056.18199918421","945.655831363131","792.523993188193","824.775349356405"
"28","11754.8997067784","5058.29074465758","2340.8743618514","1914.89626507579","1348.95765643004","1237.30855953704","1495.10072956055","1011.70463386446","855.211753008583","892.385627737353","951.895025334317","836.846700466014"
"29","34304.4013487826","16105.7414200269","12066.4434156724","8075.48981944345","7210.80495390437","4059.48226571302","3598.57594079179","2178.72317845579","2306.56248054951","1977.9485984958","1695.00169973049","1561.66197157494"
"30","3808.57001772529","3020.23924459538","1840.87395328436","1369.53208525495","1253.27266823342","1147.41835358459","925.901945150262","962.959987843467","646.347354874066","690.660228082817","678.190432967883","603.222729140977"
"31","59363.3759982612","25778.1036711942","14089.3896831415","10195.139080519","8605.95571217429","4693.12558413601","4002.65424648566","3192.66595854927","4337.22789853677","3692.7647371518","3179.89831651815","2582.13923413234"
"32","9994.17746648034","5094.12992719182","3769.96005034747","2315.46483917248","2038.04204424442","1852.11464721765","1638.59333441939","1175.6373358312","1096.72976678486","907.454500733373","838.771967866608","728.018521521735"
"33","19284.5308865014","11627.6777799866","8318.27883512982","4411.59040949532","3451.74423476753","2713.33252904369","2421.30780814361","1586.8876245756","1659.52572857838","1568.732592623","1274.97940908452","1110.78312732107"
"34","3743.99869917995","2479.10099249669","1491.40659110753","1299.62428183657","995.184654613495","904.658618042724","829.757666128722","667.363399911631","610.492381875079","593.570422630343","605.172751873524","557.185023608778"
"35","2878.65129175746","1883.31945279452","1201.79344870304","1107.4198445567","845.742440444782","719.993084662605","734.375170136617","678.571330356595","557.640829276078","600.761184405438","559.150876473489","556.744011021054"
"36","28824.7223436281","13861.3673695954","10785.1392758634","7362.05627424582","6843.2583414046","3840.59734787427","3018.07704309829","2002.08934811078","2070.05906772457","1639.43486888743","1433.93100459285","1358.40135643746"
"37","8562.72964531015","4245.73238387592","2237.92584720953","1557.67983344596","1475.98475482633","1232.88981251828","1040.92971336142","841.356614208119","787.548095576302","886.709018895534","887.752796369564","799.525082991926"
"38","4241.76870084101","2227.66560437843","1340.8403711143","1154.19906332272","852.094288206731","792.610719894061","836.137205847298","653.492488451047","608.386153374846","617.427798352834","635.22868525951","564.843770602278"
"39","3364.13760916811","1940.65573484751","1157.61249591619","939.756108391125","809.365794562204","777.450735009966","802.901799542212","630.695362464762","604.926808134728","611.36897348608","605.957675271644","548.963221372911"
"40","4999.58426949252","3132.8875015685","1866.12782926118","1427.68957614265","1378.06315598881","1147.82527797597","886.924797671503","772.574217056185","704.627190575505","710.374760371859","735.736743144567","607.582638847885"
"42","3683.04580613854","2481.95861162524","1634.21231588845","1164.76862593295","1056.04196536868","847.644316839279","743.288614190642","698.430224038855","609.803289260878","611.974661899479","657.407032165413","599.043370548943"
"44","5507.21286026314","2301.02970720548","1424.72914876009","1247.26484834248","837.274613561408","771.804905189829","778.399914264459","640.784641038711","639.649322550009","640.939898622132","659.295677927126","641.847764799276"
"45","4232.43079593147","1822.43537820561","1261.94478362561","1119.41944091014","814.328138284281","731.27462780686","738.099759324602","632.271350730393","609.859473870552","629.463319866595","617.176264199459","596.539013457856"
"48","25425.4922466434","8997.96833832299","4618.88036774204","3067.93921772894","2398.31798764819","2173.57665269191","1990.63619353453","2152.57325831118","2187.62431697073","2253.12447937452","2406.33423203413","2220.97464852353"
"49","10828.0915225355","7403.85395964977","2929.39651868466","2283.91845017062","1600.95388243703","1412.77312237075","1564.03791001993","1039.63284191229","892.244331995552","791.2436205002","887.091269751983","737.176242594227"
"50","3070.37037204527","1391.18416342508","1122.32213331183","1180.17161467136","811.724446155288","662.614042489758","675.115992063792","606.965714731632","555.873349278204","555.618845176341","549.582444764378","549.568592942739"
"51","15065.6435890694","6286.38842306293","4248.13279942421","2411.24901618866","2086.24750867328","1924.09289215715","1915.4094400562","1248.9153678514","1189.1248147408","1041.45794117779","1001.89341082062","880.885621790124"
"53","54365.0882578","23437.6113109346","10937.9824692962","6750.22024560116","7053.45545055602","4076.54955633244","3335.40540609411","3059.35978900794","2793.21428528077","2282.08871921893","2335.2918992621","2112.14041632227"
"55","10396.8280308902","4424.39434437806","1704.31654098811","1250.74587651359","1243.16804579169","1159.07388277758","1033.64983556371","1040.56905915028","924.267705389583","949.24141362674","1139.0726898592","1040.48380394172"
"56","3880.33560612543","1836.11799540277","1102.95602252034","1006.73415173249","809.826993690022","706.441912038385","755.49567148919","657.692752037385","613.678583623376","621.405961249511","633.925665652815","581.708217717046"
"57","3945.96159250463","2493.45734185564","1491.7106804639","1370.5193891744","1026.71164706565","929.494469669093","878.721693276744","675.273911562637","666.958321333121","637.974615415687","617.486296114767","559.441802893595"
"59","4427.63381498756","2828.63323033115","1812.91046481811","1398.33705031479","1130.40202383375","957.356708434522","808.170618431096","738.193516933987","654.643438392156","626.507424290746","664.341127053033","598.291434451306"
"61","3778.24786149815","1677.93430036443","1082.32103919035","872.703007892123","744.443845153867","689.407333864241","734.420760301208","630.823128720322","595.370181339001","614.435635516011","605.928729926974","557.180938062185"
"62","4469.55818406097","2184.96051475185","1243.34142778088","962.829395820326","845.032595774657","817.269056285029","808.348505525427","646.862780047928","634.639059968897","645.00590686528","660.64372971127","627.401108267764"
"63","3936.07487174735","1823.86420775289","1117.66687421107","983.545613653324","780.078532867651","699.149294134913","771.528244071259","647.519009941673","601.708819996579","615.391643276307","616.20546238177","583.965017406249"
"64","3009.38525053366","1783.43883042243","1214.47199485098","1080.88356152205","838.988946956519","735.172427078805","726.502822876124","605.480485065536","568.388627323692","551.403434187669","560.701409876416","534.68664266544"
"67","4284.3223300712","2518.27984703286","2370.99447813777","1729.86980561445","1323.68930305841","1187.75571945353","974.830454386637","761.326031929158","827.584155446887","695.232394963847","585.099222685553","560.165005549306"
"68","5715.9229977638","2514.50333335956","2362.0258993641","1786.7498019528","1394.55203127067","1184.57919130605","1074.18529723908","830.627327329868","882.832345585766","782.978857912585","649.91020647239","649.412536384138"
"69","7120.12525035868","4444.85263721372","2178.26570551773","1651.41845929154","1526.62543109088","1239.07392922306","1004.09142319245","874.860504741721","756.812830617008","714.235282534339","865.049877332575","756.580771108016"
"72","4001.3180382339","1856.27542193287","1107.37651334778","943.026578452169","776.950213324856","762.032768687097","759.368744147895","645.930325056579","615.356144011584","615.581117604163","628.178759127691","588.767981723302"
"76","6560.06708384518","4021.48600331446","1757.46969344463","1398.50525974968","1164.21663835842","1034.71842662884","1236.74623442264","956.345865834271","738.697516341206","717.593297844724","805.053793598073","621.443979041787"
"77","2949.15834199206","1784.95842062208","1159.07937051956","926.607271987981","822.629386516497","767.343580281678","804.748580911803","624.861358023366","566.04712637163","542.462459007018","562.499758097572","539.263378473904"
"78","15571.8370395754","6424.75661366596","2470.28475727137","2051.07558871361","1700.46134246004","1478.48777185451","1619.10916632711","1181.70759242338","1081.32481389561","995.05106669646","1136.3541126611","919.833678906755"
"80","7377.73267537302","2971.44425782083","1506.43515327453","1262.30144203596","936.218030828024","862.076533199309","928.297130900243","709.475429421281","678.54072654089","792.849505786043","747.467900232875","740.42017862845"
"81","10625.7129839576","7864.81215195","4159.48907356293","2824.55229949112","2059.25052043341","1650.26278724445","1548.92182690229","1164.32055150476","1105.83293086068","1129.51387635835","1083.5854881419","866.809601889666"
"82","5932.68687129958","2626.03323304652","1506.10063878109","1478.23689096176","1001.99528459466","873.850715567282","845.328669416105","724.449565954396","675.206626663629","635.904816924219","682.180573060745","664.461083374297"
"83","6262.38163751952","3165.20925816864","2845.07008203401","1891.61926414249","1472.63395411581","1418.74068587724","1298.78190739836","883.774166931415","913.149199512295","832.805767950617","709.966257624545","702.236190557581"
"85","40352.0010826427","19221.7536586776","9562.69756832806","4989.38509688809","4184.68187086168","3412.71041060877","3130.53795810949","3122.31438247176","2507.32802201506","2361.83166617414","2373.39903096323","2306.23536493179"
"86","2996.33879498948","1770.08091949968","1100.06809062299","912.464499305081","850.54988770115","788.283671356483","759.605764798813","617.568604396203","583.976172246363","604.115754039367","644.886107841954","537.349997132468"
"87","31666.2894105054","14657.8442692557","10799.6858421874","7044.92753314568","6554.79460988533","3863.46294218716","3004.64581994673","2024.22733566189","2177.11013707672","1735.04359029735","1562.31281501231","1430.30801231065"
"88","6551.78499586529","4135.34538588641","2179.20171278156","1721.04450891992","1372.20507754027","1301.10822604022","1020.09455597363","1013.90894276226","775.269766667254","770.75719205361","803.143273407334","700.270473413646"
"90","3843.88992917612","1886.74177216955","1125.17825114613","998.649234050792","805.160601311422","696.297975686971","770.141490895136","647.530679869536","604.202411111236","622.045717890417","614.644140031388","574.979328464678"
"91","2789.44829725818","1428.65686746628","1002.3714041516","828.500500412494","718.127220291651","625.095817527426","638.340774553422","588.395733474959","554.430939969449","550.914162193078","545.934328171026","540.608913143963"
"93","5516.89433603223","4312.25603598043","2122.82428414727","1628.93768333899","1519.30721594132","1111.36337935246","1290.58798102603","984.788418701771","830.499079338735","1011.28090754867","789.372898821393","614.234422590605"
"94","16465.145765798","8889.37968684163","6028.13909193113","4687.76916241354","3234.87215704919","2426.53007069457","2446.66266439711","1666.52933664414","1455.859141068","1184.79375105638","1100.80131502753","1075.81737242839"
"95","3669.89458419738","2030.04117733273","1217.39170804111","1207.44668093228","873.025327013797","712.285900749769","763.286450108258","685.691196193077","606.304233189623","658.004965942296","613.94833549545","596.576966026974"
"97","6597.71582124757","4904.70166377168","2390.40925915413","1754.15039758026","1828.0394129338","1692.41372407481","1274.71496700174","1024.58968173075","809.690099914803","707.985897214668","728.108305476136","610.708056283161"
"99","7508.34654254095","5681.50194408575","2895.38346769185","1955.64212679443","1563.6879547663","1373.75414124327","1343.96073125518","1037.67099165438","1007.27479625815","1096.96248734144","1026.31078328658","803.462678169288"
"100","11757.5761960597","11076.1820263243","5005.64176754152","3321.56381462864","2902.77344943944","2101.59880278102","1792.86627551458","1307.10918846157","1167.27511633949","1136.59203998416","1105.64273684622","882.739872897704"
"101","9483.57324448159","3705.62037982708","1880.16926690178","1643.85105580694","1359.31052326469","1327.41797217811","1063.67065350801","800.407422929832","852.410815140061","877.749941570055","767.904229392025","778.392991654089"
"102","3033.18785341523","1784.66733296825","1094.00423921174","901.945398137247","812.551112892676","774.257164673887","793.068449982584","627.161803812217","579.526859230016","566.334145480213","573.840658048741","540.808960610335"
"103","9852.85036372989","4172.78238234491","1519.80959547087","1217.19879639566","893.827265759716","795.614867678689","908.565027389236","1055.73943853467","813.590854655643","855.98428591589","1112.10915389674","988.115759177895"
"104","3049.15314732159","1614.18851839942","1065.0010466472","821.148947866928","715.396282497083","679.740065891965","704.827318975458","606.857519931703","544.539240716277","576.392291033189","577.820267727024","543.52563417799"
"109","4453.91710181701","2149.04838711411","1387.97844818476","1478.75160815201","1192.33108316601","940.116263351224","834.693776597455","698.585567611627","662.187876065634","639.85014581835","626.051904129804","591.858730517962"
"110","3895.16054684544","2119.2506067405","1274.38015044354","1339.27272483091","1022.00352537067","894.596804603395","787.487188455555","654.370068811425","631.116214811444","631.014045153285","607.957972455991","559.947668771008"
"111","2795.11192839731","1401.30777132091","986.350981990825","893.018176908383","730.816371534651","625.207551668872","661.73578368422","592.313983083429","555.742498819426","547.583603885971","549.934771769794","535.702610301489"
"112","4761.50246850247","2708.01164510322","1703.63328376805","1652.37797047688","1278.40978091385","1224.01157115425","955.449907177888","735.635244356479","735.764422087314","689.689095084196","616.990377013737","566.060338953777"
"113","6880.46489918802","2404.44220777163","1446.05055088116","1238.42678992697","872.251977111201","809.92823623966","857.417195040145","683.705027927","684.514617329333","796.988628566843","741.6999602583","736.516983035198"
"114","3916.70327212324","1712.29455171638","1054.05032563062","914.402415096897","754.969248711021","684.603964576104","726.609802735627","635.478689905531","601.561201594486","612.632202100502","616.076018585561","591.815953128899"
"115","15406.340609644","8943.85040430894","5492.53132440898","4907.23222365182","2874.10611659165","2474.82873311931","2405.01927031716","1838.028317663","1792.0151204433","1645.52653110733","1152.16652320966","979.274482931032"
"117","10501.3124762429","5272.52092626532","1907.55586598206","1349.50748007701","1278.51170757524","1200.90327752652","1085.09100146699","1076.32284026362","930.798411632477","907.434468224678","1099.59718698658","1028.80111018397"
"118","3318.63882158978","1722.25702524939","1225.67585053348","1028.38052019378","792.380745467505","721.65150393839","710.112773469359","609.841927432552","564.225001105143","588.89535039","580.904916762082","556.079118600049"
"119","2951.14693216169","1634.13912214895","1150.35337787557","1086.41778845328","781.78567142061","648.829167831781","680.923434398391","601.019818095409","557.873040972788","549.612002745226","551.021361473053","540.429611933218"
"120","15755.0054884512","7742.4691245184","3444.34686086506","2258.18461854009","1949.33818634843","1966.77340692781","1749.49937341315","1957.49020473807","1430.41078551068","1365.5568956129","1272.67431866969","1242.29170262794"
"121","3493.99701522116","2374.41499722142","1491.49990711561","961.544638098426","987.861223492735","844.955096936565","807.209936010728","712.905924812619","613.893502794861","604.512558197218","669.967787582745","594.262724055719"
"122","3799.01975769711","1887.29405950247","1194.19445725133","899.023098276465","817.006043912143","777.951917389683","809.287128987721","640.046497973925","607.749970680945","615.381101270178","616.049479288709","556.246822536637"
"123","3337.14363758351","2030.00698025349","1384.91836436243","1016.99692933547","996.912682830537","809.653820245917","738.065031755775","699.268522864606","615.025679543406","610.256123368456","660.222451725659","580.466017584337"
"125","10347.8096476765","4826.98046159486","4275.89470894916","2854.21553354233","2290.54467939587","1930.59703196611","1553.79256493208","1269.42179668052","1185.64781894346","1040.03224060129","985.591243380548","993.156652292479"
